date,lati,longi,flag,name
2015-01-25,37.8058,-122.421,0,view
2014-12-06,37.8058,-122.421,0,view
2015-01-25,37.8058,-122.421,0,view
2015-01-22,37.8058,-122.421,0,view
2015-01-11,37.8058,-122.421,0,view
2015-02-20,37.8058,-122.421,0,view
2015-02-16,37.8058,-122.421,0,view
2014-12-23,37.8058,-122.421,0,view
2014-12-30,37.8058,-122.421,0,view
2014-12-22,37.8058,-122.421,0,view
2015-01-03,37.8058,-122.421,0,view
2014-12-16,37.8058,-122.421,0,view
2015-01-07,37.8058,-122.421,0,view
2015-01-26,37.8058,-122.421,0,view
2015-02-09,37.8058,-122.421,0,view
2014-12-05,37.8058,-122.421,0,view
2015-01-05,37.8058,-122.421,0,view
2014-12-21,37.8058,-122.421,0,view
2014-12-06,37.8058,-122.421,0,view
2015-02-05,37.8058,-122.421,0,view
2015-01-10,37.8058,-122.421,0,view
2014-12-04,37.8058,-122.421,0,view
2014-12-01,37.8058,-122.421,0,view
2015-01-24,37.8058,-122.421,0,view
2015-01-22,37.8058,-122.421,0,view
2015-01-15,37.8058,-122.421,0,view
2015-02-11,37.8058,-122.421,0,view
2015-01-10,37.8058,-122.421,0,view
2015-01-06,37.8058,-122.421,0,view
2014-12-26,37.8058,-122.421,0,view
2014-12-07,37.8058,-122.421,0,view
2014-12-18,37.8058,-122.421,0,view
2015-01-03,37.7585,-122.42,0,view
2015-03-01,37.7837,-122.433,0,view
2015-02-28,37.7837,-122.433,0,view
2015-02-24,37.7837,-122.433,0,view
2015-02-23,37.7837,-122.433,0,view
2015-02-22,37.7837,-122.433,0,view
2015-02-15,37.7837,-122.433,0,view
2015-02-20,37.7837,-122.433,0,view
2015-02-24,37.7837,-122.433,1,view
2015-02-24,37.7837,-122.433,0,view
2015-02-02,37.7837,-122.433,0,view
2015-02-24,37.7837,-122.433,0,view
2015-01-21,37.7837,-122.433,0,view
2015-01-12,37.7837,-122.433,0,view
2015-02-17,37.7837,-122.433,0,view
2015-02-22,37.7837,-122.433,0,view
2015-02-19,37.7837,-122.433,0,view
2015-02-16,37.7837,-122.433,0,view
2015-01-17,37.7837,-122.433,0,view
